date,cases
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,8
2020-03-07,0
2020-03-08,6
2020-03-09,5
2020-03-10,0
2020-03-11,7
2020-03-12,7
2020-03-13,18
2020-03-14,9
2020-03-15,22
2020-03-16,38
2020-03-17,53
2020-03-18,45
2020-03-19,40
2020-03-20,77
2020-03-21,76
2020-03-22,48
2020-03-23,67
2020-03-24,78
2020-03-25,42
2020-03-26,66
2020-03-27,67
2020-03-28,92
2020-03-29,16
2020-03-30,70
2020-03-31,43
2020-04-01,53
2020-04-02,55
2020-04-03,53
2020-04-04,29
2020-04-05,26
2020-04-06,37
2020-04-07,25
2020-04-08,45
2020-04-09,34
2020-04-10,40
2020-04-11,35
